MariaDB 1 entry,Try 1 indexed,Try 2 indexed,Try 3 indexed,Avrage indexed,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"0,8","0,62","0,71","0,6","0,64","0,88","0,81","0,55","0,63","0,87",,,,,,,,,,,,,,,,
,"5,93","6,09","5,68","5,66","5,91","5,93","6,46","6,02","5,9","5,92",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"78,217","108,644","116,85","90,285","0,93","0,711","5,95",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,MS NOT SEC ,IN ,POST,CONVERT,,,,,,,,,,,,,,,,,,,,,,
PostgreSQL 1 entry,Try 1 indexed,Try 2 indexed,Try 3 indexed,Avrage indexed,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"0,79","0,97","1,09","0,83","1,09",1,"1,62","0,8","1,09","0,98",,,,,,,,,,,,,,,,
,"1,23","0,56","0,59","0,59","0,59","0,59","0,63","0,6","0,66","0,58",,,,,,,,,,,,,,,,
,"0,71","0,57","0,57","0,57","0,58","0,69","0,64","0,69","0,58","0,56",,,,,,,,,,,,,,,,
,"0,67","0,53","0,55","0,55","0,61","0,59","0,55","0,59","0,61","0,54",,,Försök 1,Försök 2,Försök 3,,1,1000,10000,100000,,,,,,
,"1,64","1,92","1,53","1,67","1,67","1,67","2,23","1,79","1,67","1,67",,1,"1,36","2,32","2,37",,"2,017","2,037","2,297","2,483",,,,,,
,"1,47","1,32","1,35","1,33","1,25","1,34","1,33","1,3","0,79","1,15",,1000,"1,43","2,32","2,36",,,,,,,,,,,
,"1,99","1,99","1,94","1,83","1,82","2,12","2,27","1,96","2,1","1,45",,10000,"2,25","2,32","2,32",,"2,02",,,,,,,,,
,,,,,,,,,,,,100000,"2,55","2,53","2,37",,"2,04",,,,,,,,,
,,,,,,,,,,,,,,,,,"2,29",,,,,,,,,
,"1,026","0,662","0,616","0,579","1,703","78,183","771,08",,,,,,,,,,"2,48",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
PostgreSQL1000 entries,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
